hip;plx;plx_err;ruwe;teff_spec;radius_flame;lum_flame;diam_mas;diam_n
17713;1.5440;0.0208;0.934;4497;;;;
17717;12.5218;0.0938;0.943;8193;;;;
17720;7.4794;0.0142;0.848;;2.253;15.320;;
17725;4.2649;0.0155;1.033;4437;;;;
17731;3.2017;0.0212;0.987;4397;19.137;172.166;;
17732;16.6608;0.2598;8.681;6250;2.654;9.528;;
17738;11.5326;0.0512;1.009;4754;9.732;57.513;1.093;2
17739;6.2172;0.0231;1.106;;2.616;14.925;;
17744;8.8194;0.0202;0.961;;2.363;15.712;;
17745;6.0523;0.0226;1.025;;2.747;67.866;;
17746;9.3282;0.0325;0.933;;1.767;5.951;;
17747;19.3247;0.0306;1.345;6062;1.584;2.742;0.381;1
17748;23.6578;0.0175;1.110;5774;1.129;1.125;;
17752;3.6898;0.0254;0.997;4659;11.883;81.850;;
17756;4.9075;0.0247;1.042;;3.709;36.395;;
17759;3.6400;0.0411;1.277;3779;;;3.400;1
17763;8.3264;0.0356;1.019;;1.558;7.447;;
17764;17.5095;0.0150;0.930;6754;1.465;3.786;;
17771;7.3071;0.1205;1.115;;;;;
17772;4.0027;0.0331;1.121;;5.190;460.798;;
17774;5.1919;0.0289;0.960;4596;8.858;36.532;;
17776;7.6909;0.0985;1.071;;;;;
17778;8.7705;0.0215;0.932;5532;2.951;9.451;;
17779;6.5315;0.0221;0.992;4641;8.608;40.562;;
17781;2.6710;0.0299;0.833;;;;;
17787;4.0489;0.0241;1.103;4601;;;;
17792;5.5606;0.0247;0.917;4324;17.966;123.814;;
17793;5.4627;0.0192;0.971;;2.019;13.282;;
17798;3.6463;0.0553;0.890;3838;;;;
17800;15.5729;0.0201;1.009;5722;1.814;2.973;;
17801;18.1825;0.0224;0.994;5249;1.974;2.667;;
17802;5.0146;0.0156;1.094;4694;;;;
17805;7.1731;0.0373;0.949;4438;;;;
17807;5.1822;0.0196;0.963;4526;;;;
17810;3.7625;0.0300;0.959;;3.176;143.103;;
17815;4.0947;0.0237;1.094;;;;;
17819;19.2767;0.0173;1.022;6218;1.547;2.793;;
17821;3.0581;0.0684;1.293;4250;;;;
17824;4.9446;0.0151;1.111;4670;;;;
17827;14.3816;0.0232;1.075;6617;1.672;4.524;;
17832;11.5943;0.0303;0.982;;2.904;15.257;;
17834;3.9836;0.0288;1.013;;3.220;86.535;;
17838;20.6348;0.0179;1.024;;1.387;3.265;;
17845;3.5031;0.0272;0.944;;3.258;387.367;;
17847;8.1184;0.4791;4.117;;7.318;846.562;;
17849;2.5826;0.0397;2.395;4831;16.826;174.725;;
17851;7.2414;0.1255;1.303;;;;;
17854;8.7759;0.0632;0.966;;3.854;88.938;;
17858;6.1706;0.1445;5.441;;3.198;109.266;;
17861;2.5821;0.0179;1.152;3849;;;;
17862;7.1894;0.0361;0.983;;2.201;55.747;;
17866;6.3266;0.0722;4.598;6583;3.510;20.033;;
17872;5.8878;0.0236;0.833;;2.503;58.650;;
17873;8.4365;0.0227;1.072;;3.497;13.374;;
17877;0.9264;0.0221;1.022;8232;;;;
17881;3.9187;0.1886;1.676;;;;;
17884;;;;;;;8.424;1
17889;2.5557;0.0485;1.077;4250;;;;
17892;7.2959;0.0288;1.007;;1.983;37.530;;
17893;4.4868;0.0157;0.970;4688;;;;
17900;7.4625;0.0470;1.036;;2.664;66.256;;
17907;6.7515;0.0383;0.931;;2.251;52.447;;
17908;3.1159;0.0219;1.068;4369;20.835;151.029;;
17912;5.0225;0.0175;0.915;;2.951;71.983;;
17923;7.3890;0.0383;0.974;;2.080;58.171;;
17928;23.2079;0.0237;1.032;6378;1.219;1.884;;
17930;12.9961;0.0262;0.968;;2.031;10.526;;
17936;27.9299;0.0255;0.983;5742;0.998;0.882;;
17939;4.4708;0.0156;0.975;4507;;;;
17943;13.6738;0.0239;0.939;;1.917;8.340;;
17946;6.3287;0.0312;0.936;;1.950;29.557;;
17950;22.5899;0.0247;1.010;;1.511;4.067;;
17951;4.1007;0.0158;1.066;4007;;;;
17952;4.8054;0.0249;1.093;4608;;;;
17955;2.8888;0.0374;2.480;3858;;;;
17957;2.8811;0.0219;1.146;4390;;;;
17959;8.4446;0.0826;0.935;;;;;
17960;21.4719;0.0241;0.969;5756;1.408;1.838;;
17963;1.5179;0.0635;2.898;;;;;
17968;1.5149;0.0150;1.052;4250;;;;
17969;4.1953;0.0229;1.134;4196;;;;
17976;2.5120;0.0194;1.269;4023;;;;
17977;12.0739;0.0202;0.899;6127;1.928;4.492;;
17982;6.8672;0.0277;1.038;;2.002;48.052;;
17988;14.3424;0.0219;0.922;;2.276;8.679;;
17993;3.2303;0.0381;1.227;4250;;;;
17999;6.7873;0.1414;4.034;;2.311;61.089;;
18007;11.3448;0.0218;0.943;6406;1.707;4.157;;
18010;4.1486;0.0166;0.983;4184;;;;
18011;13.5513;0.0159;0.900;;1.395;3.164;;
18012;5.5579;0.0145;1.019;5113;;;;
18022;5.0643;0.0243;1.016;4949;7.778;50.415;;
18030;4.7137;0.0163;0.993;4336;;;;
18033;6.1838;0.0462;1.029;7950;2.597;160.496;;
18040;2.9247;0.0204;1.144;4385;17.337;159.407;;
18046;5.4197;0.0309;1.088;;;;;
18048;2.3335;0.0252;1.028;4250;;;;
18052;5.7328;0.0183;0.950;4744;12.934;75.657;;
18055;4.7408;0.0130;0.895;4955;8.902;46.979;;
18056;6.5518;0.0192;0.875;4730;6.612;24.575;;
18059;7.2481;0.0224;1.018;4682;10.572;60.255;;
18067;5.0627;0.0340;1.069;;;;;
18068;3.6257;0.0195;0.948;4762;;;;
18069;12.7500;0.0156;0.958;6323;1.666;3.470;;
18070;7.3016;0.0266;1.171;;2.196;15.072;;
18078;4.6127;0.0524;2.616;;3.859;29.502;;
18081;2.7381;0.0772;1.189;;;;;
18083;2.5847;0.0228;0.945;3826;;;;
18088;3.6378;0.0197;1.028;4241;;;;
18089;4.4759;0.0744;0.825;;;;;
18095;4.1921;0.0515;1.043;;;;;
18097;33.5609;0.0193;0.869;5629;0.902;0.726;;
18100;1.7446;0.0206;0.961;4407;;;;
18102;12.9003;0.0219;0.969;6067;1.788;3.996;;
18104;4.9682;0.0319;0.937;;3.341;84.715;;
18106;25.6061;0.0272;0.970;6019;1.482;2.466;;
18109;9.3393;0.0256;0.981;;;;;
18111;2.6313;0.0355;1.076;;;;;
18113;4.5880;0.0240;1.014;7230;4.551;90.273;;
18116;6.2117;0.0323;0.962;;2.026;15.149;;
18118;5.5067;0.0167;0.910;4463;8.381;30.402;;
18122;12.9666;0.0252;1.058;6573;2.500;9.886;;
18123;5.8417;0.0224;1.013;4677;9.832;52.032;;
18126;4.9112;0.0237;0.909;4655;9.446;47.636;;
18129;4.7568;0.0203;1.035;;;;;
18138;7.5068;0.0203;0.999;5057;;;;
18139;2.5457;0.0133;0.945;4303;23.915;250.672;;
18142;4.8782;0.0188;1.060;4938;9.450;52.372;;
18147;4.3942;0.0204;0.955;4672;11.720;58.171;;
18153;10.9579;0.0202;0.970;;2.196;10.099;;
18159;3.0645;0.0223;1.043;4350;18.800;161.080;;
18160;2.4875;0.0291;0.958;;3.890;333.064;;
18163;11.8528;0.0202;0.892;5731;1.999;3.820;;
18164;9.0228;0.0222;1.024;6474;2.553;10.903;;
18169;2.5636;0.0450;0.973;;5.403;508.503;;
18170;23.1939;0.0311;0.886;;1.745;6.123;;
18174;11.2067;0.0243;0.828;6489;2.154;6.496;;
18183;1.5802;0.0307;1.103;7997;4.618;650.390;;
18185;3.0286;0.0197;1.079;4560;17.828;121.563;;
18186;3.4882;0.0211;0.970;4802;10.962;68.202;;
18187;24.1056;0.0145;0.954;;1.208;1.846;;
18188;4.2504;0.0184;1.083;4409;15.922;124.370;;
18190;7.3922;0.0342;0.985;;1.978;48.141;;
18192;2.2499;0.0214;1.091;3906;;;;
18194;7.4634;0.0330;0.969;;1.807;12.874;;
18201;5.7312;0.0293;0.925;8433;4.080;128.042;;
18202;3.4254;0.0163;0.978;4803;10.864;68.556;;
18208;10.1899;0.0218;0.856;5128;;;;
18209;2.4913;0.0165;1.005;5045;13.635;153.040;;
18210;4.0683;0.0183;0.929;;5.980;43.198;;
18213;9.0016;0.0834;1.123;8000;;;;
18216;9.9585;0.1722;1.799;;;;;
18217;18.5633;0.0352;0.910;;1.671;10.657;;
18223;2.8514;0.0199;1.004;4297;18.818;159.374;;
18225;4.2164;0.0141;0.903;4612;10.071;51.656;;
18230;2.2953;0.0319;1.365;4838;;;;
18232;3.6530;0.0189;1.063;4863;11.571;77.061;;
18233;7.0824;0.0283;1.133;;2.130;12.094;;
18235;15.9468;0.0184;0.952;;;;;
18246;3.8556;0.4169;2.691;;;;0.540;1
18254;8.3255;0.0212;1.005;;2.242;19.025;;
18255;9.4562;0.1108;1.002;4934;;;;
18261;22.4885;0.0215;0.918;5886;1.030;1.072;;
18265;6.5514;0.0232;0.964;;3.283;22.926;;
18267;48.8490;0.0207;0.977;5566;0.937;0.689;;
18274;5.5927;0.0228;1.123;4659;9.626;52.099;;
18275;8.5688;0.0186;0.918;;2.491;68.122;;
18276;3.5372;0.0245;0.972;4779;10.849;62.500;;
18277;6.8331;0.0206;1.017;;3.745;26.799;;
18286;11.2760;0.0203;1.149;;1.590;19.536;;
18292;6.4524;0.0243;1.159;4822;;;;
18296;4.0283;0.0343;0.844;;2.397;72.567;;
18297;7.1270;0.0330;0.961;;;;;
18300;3.0967;0.0283;1.098;;3.559;101.246;;
18305;17.0396;0.0168;1.018;6202;1.318;2.421;;
18306;5.1590;0.0334;1.055;;2.660;19.206;;
18309;14.3772;0.0206;0.956;;1.943;3.520;;
18314;8.8722;0.0213;0.893;;1.778;7.909;;
18318;1.8859;0.0228;0.888;3753;;;;
18324;47.6976;0.0181;0.941;4895;0.784;0.331;;
18326;3.0325;0.0245;1.045;5919;;;;
18334;9.2413;0.0222;0.938;;2.084;7.750;;
18337;4.0292;0.0290;0.917;;3.739;140.130;;
18339;20.7432;0.0413;1.166;7104;;;0.335;1
18350;1.6274;0.0375;1.503;;;;;
18352;10.8689;0.0153;1.056;6250;2.084;6.032;;
18353;0.8778;0.0208;0.995;7924;;;;
18354;3.9175;0.0244;0.978;4818;12.069;87.060;;
18355;4.3769;0.0172;1.052;4594;9.183;56.576;;
18361;3.2992;0.0162;1.069;4292;;;;
18366;25.2784;0.0201;0.975;5993;1.463;2.538;;
18376;7.6658;0.0163;0.889;;2.245;10.471;;
18381;4.7182;0.0240;1.016;;4.225;31.020;;
18382;3.9885;0.0199;1.072;4293;16.729;131.528;;
18383;5.8211;0.0229;0.940;;4.130;49.198;;
18384;3.4019;0.0225;1.052;;;;;
18387;17.9280;0.0163;0.944;6116;1.293;2.027;;
18388;19.8325;0.0212;1.023;6088;1.532;3.134;;
18402;16.9913;0.0168;1.013;6195;1.502;2.704;;
18403;2.7375;0.0224;1.099;4453;20.925;223.475;;
18405;4.1981;0.0717;2.952;4960;9.567;52.484;;
18424;1.1537;0.0238;0.912;;;;;
18428;2.1036;0.0597;0.946;4250;;;;
18432;24.6735;0.0172;0.987;5316;;;;
18433;21.3438;0.0219;1.010;5633;1.264;1.380;;
18435;5.8707;0.0216;0.962;;1.699;28.074;;
18437;8.8298;0.0238;0.935;;1.676;25.862;;
18449;9.2031;0.0242;0.900;;1.898;6.829;;
18451;3.3520;0.0153;0.963;4073;;;;
18452;8.3686;0.0185;0.961;;1.714;7.459;;
18453;26.2170;0.0824;1.043;;2.346;9.069;;
18454;6.5135;0.0224;1.099;4582;11.409;46.807;;
18469;5.1873;0.0210;1.350;4919;9.163;50.111;;
18471;22.5957;0.0385;0.830;6925;2.146;9.006;;
18481;12.8012;0.0461;0.979;;;;;
18482;3.2575;0.0173;1.013;4290;25.239;278.416;;
18483;1.5811;0.0230;0.967;4321;;;;
18488;3.1699;0.1037;1.108;4092;;;;
18490;6.5325;0.0284;1.167;4880;9.675;53.730;;
18491;4.1320;0.0225;1.000;4937;11.398;90.543;;
18492;10.7325;0.0206;0.932;;1.697;8.950;;
18493;9.8598;0.0175;1.057;;1.890;6.253;;
18499;7.7585;0.0349;0.973;;2.097;36.638;;
18505;8.4614;0.0947;0.990;;;;;
18507;7.2255;0.0311;0.929;;1.678;29.332;;
18508;2.9099;0.0281;0.918;4315;;;;
18518;18.6592;0.0237;0.900;6188;1.508;3.764;;
18522;3.9105;0.0203;0.886;4657;10.637;55.058;;
18528;8.8188;0.0233;0.880;6171;2.561;8.087;;
18543;;;;;;;9.332;1
18545;4.1046;0.0184;0.985;4427;23.407;188.732;;
18547;15.6621;0.0267;0.820;;1.597;8.036;;
18554;5.7251;0.0177;1.051;4697;;;;
18555;13.5835;0.0249;0.931;6272;1.638;3.443;;
18556;2.2762;0.0157;0.962;4334;21.820;215.156;;
18559;7.0196;0.0416;1.035;;1.818;38.069;;
18560;2.7505;0.0222;1.049;4007;;;;
18565;7.6645;0.0298;1.188;4652;11.371;64.492;;
18575;5.2437;0.0313;1.040;;;;;
18577;4.0459;0.0185;1.269;4596;;;;
18581;2.6154;0.0372;1.099;4250;;;;
18583;4.3649;0.1103;4.937;4812;10.300;56.383;;
18585;5.3806;0.0227;1.041;;3.858;74.071;;
18588;5.7561;0.0674;3.067;4649;10.489;64.667;;
18592;15.8552;0.0246;1.131;6015;2.854;12.150;;
18596;2.6611;0.0180;1.034;4925;;;;
18597;6.0382;0.1309;2.603;;;;;
18602;7.2831;0.0244;0.896;;2.260;25.825;;
18605;3.0792;0.0171;1.134;4250;;;;
18606;21.3926;0.0369;1.009;4837;4.827;10.916;;
18614;2.4457;0.2616;2.236;;;;0.218;1
18620;5.3074;0.0270;1.099;4789;9.155;54.524;;
18624;3.1465;0.0488;2.098;;3.259;66.614;;
18634;6.3859;0.0257;1.138;4550;12.805;85.634;;
18635;5.6964;0.0182;1.113;4617;;;;
18637;3.6883;0.0210;0.978;4549;;;;
18640;6.5090;0.0324;1.058;;1.617;20.878;;
18641;4.9344;0.0212;1.140;4503;12.828;69.392;;
18646;3.7453;0.0242;0.973;4803;10.441;65.585;;
18647;4.9569;0.0874;1.374;4029;;;;
18656;6.2529;0.0183;1.009;;3.538;36.432;;
18657;3.9087;0.0371;1.044;;5.049;253.926;;
18660;4.4440;0.0539;1.601;;3.234;89.051;;
18662;3.4478;0.0313;0.999;;2.823;181.470;;
18665;2.0142;0.0216;1.011;4053;;;;
18671;10.4768;0.0167;1.001;;1.925;5.766;;
18673;9.9739;0.1001;1.104;;;;;
18677;3.2689;0.0187;1.226;4098;;;;
18686;4.1131;0.0200;0.999;4558;11.776;52.446;;
18687;2.7862;0.0263;1.015;;4.760;873.576;;
18688;3.8475;0.0276;0.895;8000;;;;
18717;5.4279;0.0331;0.947;;;;;
18718;4.5920;0.0202;1.053;4338;19.864;146.403;;
18724;8.0397;0.4405;5.009;;6.611;2298.735;;
18729;9.4351;0.0233;1.012;;2.063;25.744;;
18730;6.9101;0.0186;0.874;4876;6.110;28.797;;
18731;;;;;;;;
18735;21.8567;0.0420;1.015;;1.852;7.498;;
18738;5.8167;0.0190;1.094;;2.708;17.028;;
18744;7.0247;0.1190;1.916;;;;7.440;1
18750;4.4564;0.0201;1.049;;2.660;58.163;;
18762;6.4648;0.0219;0.959;4737;12.619;58.176;;
18766;5.3158;0.0201;0.992;;3.599;33.727;;
18769;6.4075;0.0938;2.205;;;;;
18770;14.7228;0.0263;0.965;;1.653;4.886;;
18771;4.5158;0.0142;0.983;4789;;;;
18772;9.9842;0.0844;1.518;4222;;;;
18776;13.9996;0.0281;1.044;5920;;;;
18777;8.6370;0.0773;2.695;;1.721;13.521;;
18781;8.6363;0.0518;1.744;;1.787;46.045;;
18788;7.4656;0.1172;1.147;;2.978;240.665;;
18793;2.4563;0.0268;1.082;4115;;;;
18795;1.1701;0.0177;1.034;5306;;;;
18809;11.9288;0.1709;7.207;;1.740;4.970;;
18813;7.6383;0.0267;1.106;6006;;;;
18816;3.6956;0.0172;0.938;4409;18.138;124.330;;
18817;5.1760;0.0166;1.014;;;;;
18818;0.9468;0.0293;1.279;;;;;
18824;21.6582;0.0203;1.183;;1.713;2.430;;
18833;11.8256;0.0344;1.155;6121;1.883;4.668;;
18837;14.8119;0.0233;1.110;;1.418;3.001;;
18839;;;;;;;;
18847;6.8883;0.0164;1.039;4630;10.742;56.725;;
18850;4.3511;0.0347;1.129;;3.276;213.539;;
18851;8.2305;0.0403;1.380;7494;1.905;9.899;;
18853;7.5545;0.0272;1.040;6183;;;;
18859;53.4559;0.0702;0.989;6253;1.257;2.046;0.582;1
18861;3.8542;0.0156;1.051;4079;;;;
18863;7.7096;0.0332;0.985;;1.925;34.108;;
18870;16.8869;0.0174;1.096;6090;1.650;3.205;;
18871;1.4239;0.0316;0.972;;6.740;1812.290;;
18875;8.1690;0.0207;1.061;4543;;;;
18882;2.8123;0.0213;1.037;4386;17.128;144.168;;
18883;4.8076;0.0185;0.989;;3.384;17.228;;
18884;0.3600;0.1729;6.770;8720;;;;
18885;6.7504;0.0227;1.104;7050;2.074;19.440;;
18887;10.1427;0.0228;1.056;;2.047;9.265;;
18893;22.1315;0.0246;1.027;6371;1.434;2.884;;
18894;2.7713;0.0171;1.086;4462;;;;
18898;2.4422;0.0163;1.003;4166;;;;
18906;2.8139;0.0165;0.979;4330;20.519;206.517;;
18907;26.4293;0.2813;2.892;;;;;
18908;5.0761;0.0241;1.045;4748;11.798;58.313;;
18911;3.9341;0.0387;1.133;3936;48.961;1084.758;;
18913;5.6179;0.0148;0.941;4700;;;;
18916;5.5357;0.0203;1.086;4585;;;;
18917;6.0907;0.0182;0.936;4943;6.464;28.597;;
18921;8.6480;0.0238;0.926;;2.371;14.643;;
18922;1.8709;0.0209;0.930;4054;;;;
18923;8.1749;0.0392;0.986;;3.860;20.212;;
18926;2.6386;0.0589;1.020;;;;;
18931;3.5894;0.0292;0.985;4250;;;;
18932;4.3698;0.0437;1.016;;2.572;50.116;;
18935;3.5402;0.0298;0.958;;2.983;119.209;;
18936;9.7539;0.0168;1.001;6138;2.071;7.219;;
18939;3.1416;0.0249;1.135;3805;;;;
18940;3.2054;0.0163;1.077;4534;;;;
18942;6.4372;0.0212;1.131;4459;;;;
18950;7.2020;0.0388;1.777;;;;;
18952;12.5509;0.0172;0.992;;1.598;5.073;;
18954;4.9731;0.0162;1.059;4708;11.006;62.588;;
18957;4.5161;0.2637;3.330;8875;5.051;1173.232;;
18959;7.1810;0.0202;1.064;;;;;
18963;4.2139;0.0260;0.990;;1.958;29.672;;
18966;10.8383;0.0233;1.005;6029;;;;
18969;8.1134;0.0160;0.887;;1.780;11.147;;
18975;28.4198;0.0781;1.178;6441;1.916;6.696;;
18977;5.7822;0.0231;1.190;;2.624;16.821;;
18979;7.2294;0.0272;0.945;;1.747;24.021;;
18983;4.3145;0.0421;1.097;;2.133;66.031;;
18985;2.5107;0.0194;0.950;3831;52.217;1823.693;;
18986;29.4244;0.0266;0.995;5892;1.124;1.158;;
18990;7.0017;0.0247;1.034;4282;15.616;110.220;;
18993;28.4763;0.0914;1.166;6320;2.391;7.353;;
19001;5.5194;0.0345;0.984;;1.854;34.314;;
19003;4.1429;0.0367;1.190;3788;;;;
19009;3.1252;0.0984;1.288;4713;;;;
19011;8.7061;0.0527;1.084;4671;;;;
19017;3.7208;0.0165;1.073;4691;;;;
19018;1.5558;0.1047;1.171;6967;;;;
19022;3.4245;0.0348;1.026;;2.358;78.901;;
19023;5.9176;0.0241;0.952;;3.015;16.253;;
19028;2.9931;0.0288;1.049;;;;;
19030;15.4988;0.0246;1.107;;2.380;8.140;;
19034;3.7655;0.0210;0.992;4934;11.863;92.765;;
19037;6.7025;0.0223;0.956;4543;15.647;94.522;;
19038;;;;;;;1.690;1
19039;3.6892;0.0365;1.053;;3.287;830.104;;
19049;7.3594;0.0333;1.036;;1.818;31.633;;
19052;16.4869;0.0307;0.987;;;;;
19055;6.4395;0.0298;0.988;;1.700;22.251;;
19066;2.0729;0.0178;0.995;4014;;;;
19068;5.2558;0.0307;0.967;;;;;
19070;15.6529;0.0197;0.920;5485;2.654;6.445;;
19074;10.5533;0.0194;0.861;6231;2.623;10.123;;
19075;3.4573;0.0262;1.004;4277;21.527;173.356;;
19076;59.4728;0.0361;0.947;5876;1.024;1.034;;
19077;5.8032;0.0164;0.966;4587;7.949;36.033;;
19083;4.8553;0.0218;1.034;4572;;;;
19084;5.6760;0.0210;0.987;4745;7.130;29.579;;
19085;5.9368;0.0249;1.090;4522;10.625;51.105;;
19086;6.8292;0.0227;1.011;;1.595;23.830;;
19087;4.6689;0.0242;1.001;4206;;;;
19088;3.8694;0.0183;1.012;;;;;
19089;9.1221;0.0258;0.992;;3.617;22.772;;
19091;15.0236;0.0184;1.050;6178;2.165;5.940;;
19095;22.6594;0.0606;1.141;;2.112;9.225;;
19103;6.3284;0.0269;1.088;4842;9.727;75.647;;
19111;9.0934;0.0217;0.991;4969;7.616;38.302;;
19115;1.1913;0.0187;0.965;4250;;;;
19116;2.7157;0.0350;1.110;4250;;;;
19121;11.8110;0.0331;0.848;;1.777;27.317;;
19122;4.7480;0.0249;0.962;;2.206;43.331;;
19123;4.2567;0.0259;1.020;;2.126;43.556;;
19127;8.8290;0.0313;1.121;;2.081;47.205;;
19128;5.1449;0.0161;1.042;;3.849;36.320;;
19129;5.4653;0.0455;1.049;3921;;;;
19141;4.3529;0.0186;1.156;4965;8.373;38.608;;
19145;10.2697;0.0181;0.981;6345;1.826;6.114;;
19148;21.1750;0.0225;0.972;6037;1.120;1.346;;
19149;3.4836;0.0201;1.003;4465;;;;
19152;4.8256;0.0209;1.009;4390;12.676;75.726;;
19163;2.0373;0.0218;1.091;4031;;;;
19167;7.5259;0.1142;0.870;;;;;
19171;8.0667;0.1063;1.181;;;;;
19172;11.5659;0.0236;1.005;4800;6.809;27.997;;
19173;2.3285;0.0309;1.348;;8.997;322.426;;
19174;4.8370;0.0186;0.949;4056;;;;
19175;13.7100;0.0230;0.839;6645;1.568;4.441;;
19177;7.0285;0.0301;1.053;7984;3.610;80.302;;
19178;2.4055;0.0339;1.100;;4.669;1752.679;;
19182;4.3342;0.0279;0.966;;2.643;55.445;;
19183;17.5189;0.0263;1.017;5789;1.208;1.960;;
19186;3.2964;0.0216;0.977;4377;;;;
19196;9.3978;0.0163;1.069;6475;3.063;17.889;;
19197;5.3827;0.0278;1.188;4731;;;;
19200;4.9072;0.0248;1.090;4453;;;;
19201;;;;;;;;
19202;5.4551;0.7677;13.488;;;;;
19204;4.2015;0.0222;1.120;6654;4.595;35.497;;
19205;35.9319;0.1055;1.070;;1.621;5.226;;
19217;14.1643;0.0256;0.970;;1.310;2.594;;
19222;8.5627;0.0160;1.015;4898;8.137;37.717;;
19223;5.9685;0.0387;1.043;;1.872;41.658;;
19226;4.6090;0.0218;1.092;4527;17.915;115.955;;
19237;18.5488;0.0149;0.991;5766;1.704;3.270;;
19241;5.5179;0.0236;0.916;;1.811;21.532;;
19242;7.9380;0.0548;3.174;5097;7.988;39.618;;
19243;5.9815;0.0156;0.978;4882;9.941;56.114;;
19249;8.3963;0.0314;0.964;;2.001;36.759;;
19254;3.7757;0.0142;0.903;4830;10.109;70.274;;
19255;47.3250;0.0226;0.935;5421;0.905;0.532;;
19261;22.8505;0.0289;0.823;6697;1.758;5.740;;
19264;1.0583;0.0303;0.933;;;;;
19270;1.1773;0.0899;4.509;;;;;
19272;0.8539;0.0317;1.029;;;;;
19277;1.9471;0.0168;1.033;4290;27.801;330.907;;
19281;5.7263;0.0259;0.816;;2.090;51.784;;
19283;2.0829;0.0152;1.002;4016;;;;
19284;7.2518;0.0561;1.039;4019;;;2.818;1
19287;6.9035;0.0264;1.147;4515;10.390;49.306;;
19293;2.1225;0.0152;1.038;4057;;;;
19294;4.0234;0.0947;5.143;4866;9.011;55.447;;
19301;30.9051;0.0288;1.011;5440;0.972;0.759;;
19302;22.0782;0.0342;1.058;4977;3.866;7.905;;
19305;7.6448;0.0669;1.160;;;;;
19306;6.3022;0.0295;1.013;;;;;
19308;3.6355;0.0308;1.036;7983;4.119;110.952;;
19314;1.7746;0.0249;0.903;;6.085;1176.013;;
19322;3.5522;0.0363;1.086;;;;;
19331;19.4954;0.0181;0.994;;1.581;4.802;;
19335;47.1878;0.0734;1.407;6536;1.319;2.253;;
19336;4.2407;0.0254;1.035;4796;10.480;60.706;;
19339;2.3813;0.0168;1.107;4315;20.508;203.571;;
19340;0.7255;0.0176;0.855;;;;;
19341;1.7120;0.0311;1.341;4540;;;;
19343;6.3756;0.2917;3.857;;;;;
19346;2.9958;0.0219;1.068;4463;20.794;213.096;;
19348;5.4054;0.0538;0.820;3840;;;;
19351;2.1979;0.0136;0.959;3950;;;;
19356;5.3171;0.0285;0.987;;2.986;77.978;;
19358;6.6394;0.0327;0.997;;1.821;30.201;;
19361;7.2985;0.0238;0.948;4832;10.178;54.183;;
19363;8.8412;0.0263;0.968;;1.991;9.714;;
19366;;;;;;;;
19370;4.2860;0.0306;1.082;;;;;
19371;12.7811;0.0181;0.961;6585;1.473;3.653;;
19375;13.9137;0.0203;0.948;6503;1.302;2.656;;
19377;3.0415;0.0471;1.014;;;;;
19378;1.5290;0.0200;0.857;4420;;;;
19386;17.7736;0.0230;0.966;6280;1.336;2.233;;
19388;11.2909;0.0780;0.976;4680;11.483;57.325;;
19389;14.5175;0.0244;1.065;6436;1.596;3.521;;
19390;3.2767;0.0418;1.072;8480;;;;
19391;2.3449;0.0284;1.141;3775;;;;
19398;4.9873;0.0940;1.097;8674;4.074;649.858;;
19399;;;;;;;;
19400;22.9957;0.0241;0.877;6567;1.728;4.785;;
19402;16.3670;0.0166;0.939;6074;2.236;6.076;;
19405;7.8436;0.0338;1.399;6506;2.714;11.098;;
19408;15.1183;0.0211;0.904;;1.582;5.236;;
19411;10.7847;0.0426;1.063;7843;1.681;14.967;;
19412;2.6409;0.0180;0.896;4762;;;;
19414;4.7564;0.0206;0.944;4707;7.367;43.801;;
19418;2.0066;0.0148;0.962;4131;;;;
19422;53.2562;0.0170;1.004;4970;0.782;0.311;;
19423;5.1509;0.0152;1.049;4543;11.352;48.322;;
19428;24.4461;0.0262;1.049;6140;1.421;2.423;;
19434;16.3766;0.0274;0.978;6422;2.253;7.660;;
19435;8.6877;0.0244;1.017;4894;;;;
19438;4.8519;0.0330;1.062;;2.028;40.080;;
19446;5.1457;0.0311;1.290;4908;10.175;63.686;;
19452;4.6140;0.0192;1.070;4502;14.752;83.958;;
19453;6.1991;0.0179;1.118;4585;11.601;51.673;;
19454;23.7256;0.0346;1.061;;1.894;6.677;;
19458;14.5631;0.1724;8.607;6490;;;;
19460;5.3646;0.0228;0.963;4710;10.415;56.993;;
19461;;;;;;;;
19463;1.9713;0.0174;1.060;3729;;;;
19467;24.6737;0.0145;1.023;5993;1.310;1.935;;
19473;2.6271;0.0178;1.076;4164;;;;
19480;15.8503;0.0250;1.123;6524;1.774;5.162;;
19483;8.9394;0.0542;0.975;4919;;;;
19487;1.9778;0.0287;1.051;4250;;;;
19489;11.3786;0.0382;0.972;;1.592;5.433;;
19491;4.7431;0.3513;17.667;;3.264;24.280;;
19497;6.4705;0.0333;1.072;;1.708;20.964;;
19500;5.2761;0.1761;9.554;4928;6.700;25.776;;
19501;14.5934;0.0226;1.164;6248;1.422;2.918;;
19504;21.4123;0.0243;0.866;6731;1.573;4.063;;
19506;2.5462;0.0247;1.142;4518;;;;
19509;3.4959;0.0185;0.977;4758;23.146;294.784;;
19511;10.1946;0.0618;1.138;4714;10.782;60.324;1.089;1
19513;15.4199;0.0863;1.143;6960;;;;
19523;4.4853;0.0199;1.062;4507;;;;
19528;9.5165;0.0159;0.985;6164;2.782;11.948;;
19529;2.4983;0.0215;1.002;;;;;
