hip;plx;plx_err;ruwe;teff_spec;radius_flame;lum_flame;diam_mas;diam_n
458;3.7201;0.0296;1.006;4017;29.114;331.572;;
462;20.1669;0.0360;1.363;6383;1.389;2.834;;
466;2.3067;0.0182;0.978;4564;;;;
468;4.5460;0.0150;0.972;4778;10.898;61.067;;
469;2.8206;0.0183;1.046;4138;;;;
476;8.5260;0.0597;0.844;4980;11.842;84.634;;
482;8.2925;0.0290;0.981;;1.767;4.996;;
490;25.7534;0.0211;0.913;5922;1.077;1.234;;
493;26.6978;0.0286;1.036;5843;1.071;1.242;;
496;3.7616;0.0244;1.074;4022;;;;
502;3.1985;0.0226;0.979;4059;;;;
503;3.4694;0.0223;0.914;4906;9.588;82.593;;
504;4.7836;0.0250;0.999;4635;11.055;50.536;;
505;0.4980;0.0240;0.946;;;;;
510;;;;;;;;
512;4.3757;0.0683;0.962;;1.971;43.426;;
519;4.2141;0.0208;0.984;;4.425;32.155;;
520;2.1889;0.0307;1.210;4250;;;;
522;38.1945;0.0355;0.843;6229;1.509;2.972;;
525;8.5568;0.0175;0.950;4607;;;;
526;4.9920;0.0189;0.882;;2.797;21.455;;
529;7.3629;0.0255;0.952;;3.120;18.319;;
531;3.4070;0.0536;0.950;;;;;
540;4.3577;0.0208;0.947;4890;14.740;127.007;;
544;72.6419;0.0292;0.856;5543;0.905;0.631;0.624;1
546;3.7892;0.0208;1.019;4668;11.554;71.181;;
560;25.1628;0.0342;0.933;;1.525;4.212;0.492;1
563;3.6353;0.0196;0.920;4704;11.614;68.266;;
581;7.0833;0.0374;1.069;;2.190;16.855;;
591;3.7111;0.0212;0.948;4749;10.805;63.993;;
596;11.9213;0.0158;1.024;6491;1.834;5.524;;
597;5.7925;0.0204;0.982;;3.079;18.475;;
598;1.6669;0.0255;0.974;4127;;;;
602;9.7179;0.1475;2.746;;;;;
603;;;;;;;;
605;1.8068;0.0148;0.993;3856;;;;
606;20.2130;0.0256;0.982;6273;1.479;3.081;;
607;7.7328;0.0185;0.935;4740;6.961;22.357;;
612;8.2746;0.0180;0.997;6366;2.865;12.937;;
619;6.1554;0.0265;1.101;4630;;;;
620;3.5202;0.0302;1.183;;;;;
621;1.7697;0.0160;0.910;3754;83.390;2837.367;;
622;2.5941;0.0233;1.164;;;;;
625;5.5685;0.0193;0.981;5009;8.772;37.229;;
631;6.8631;0.0235;1.352;4540;10.075;45.897;;
634;8.3577;0.0316;1.197;;2.949;12.565;;
635;4.5742;0.0801;1.052;;;;;
636;11.6897;0.0550;1.315;;;;;
640;6.6765;0.0267;1.012;;1.839;26.913;;
641;20.4838;0.0185;1.014;6023;1.170;1.462;;
647;2.4178;0.0142;1.022;4125;;;;
649;11.5622;0.0253;1.014;6359;1.818;4.488;;
652;7.7382;0.0264;0.959;;2.288;19.308;;
655;10.2706;0.0568;1.031;4610;;;;
659;5.2637;0.0265;1.021;7939;3.221;35.805;;
669;36.6167;0.0245;1.063;5825;0.984;0.963;;
671;9.0115;0.0431;1.119;4729;11.163;54.707;0.906;3
675;3.3248;0.0287;1.028;4545;13.848;71.905;;
682;26.0386;0.0283;1.025;5748;1.071;1.137;;
688;6.8855;0.0226;1.029;;;;;
689;11.6409;0.6802;32.864;6164;2.389;6.435;;
691;12.8829;0.0199;0.979;;1.398;3.862;;
692;1.8798;0.0241;0.954;3863;;;;
696;2.3085;0.0701;0.747;3771;;;;
697;8.1706;0.0195;1.076;6002;2.392;9.621;;
698;3.5770;0.0144;0.974;4278;;;;
699;30.6686;0.0252;0.942;6198;1.526;2.936;;
700;5.4792;0.0429;1.208;4847;10.404;57.527;;
701;5.0884;0.0267;0.966;;2.150;47.433;;
704;4.4982;0.0234;0.999;4609;10.777;45.034;;
706;5.7750;0.0252;1.055;5680;;;;
710;10.9615;0.0250;0.898;;1.775;7.319;;
712;4.9370;0.0188;0.983;4893;8.608;42.438;;
714;3.0607;0.0224;1.113;3993;;;;
716;7.2951;0.0264;0.895;4796;10.865;72.129;;
720;2.0099;0.0281;1.129;3786;;;;
724;5.5981;0.0245;0.942;4695;10.269;52.890;;
726;18.0797;0.0222;1.060;6077;1.366;2.031;;
728;8.8138;0.0407;1.199;7972;2.940;26.423;;
729;10.8284;0.0698;0.807;4779;10.822;59.546;;
732;7.2985;0.0278;1.324;;2.648;11.615;;
737;16.7020;0.0194;1.017;4992;3.387;6.500;;
740;9.0635;0.0290;1.003;6098;3.074;14.832;;
744;2.5597;0.0391;1.053;;4.087;442.536;;
746;;;;;;;2.112;4
754;22.7775;0.6758;29.200;5708;1.186;1.502;;
755;17.4057;0.0166;0.955;4997;3.075;6.012;;
759;19.3683;0.0238;0.891;5787;1.867;3.359;;
765;22.6081;0.1481;2.344;;11.489;60.280;;
769;5.8822;0.0271;0.879;4482;10.901;51.125;;
771;2.3258;0.0242;1.071;4130;;;;
785;3.0123;0.0199;1.069;3815;55.664;530.879;;
798;7.3870;0.0245;0.893;;3.094;82.000;;
800;2.4821;0.0205;0.981;4400;;;;
802;2.7777;0.0241;0.995;4492;;;;
803;2.8388;0.0302;0.964;3857;;;;
805;4.8913;0.0173;0.980;4828;10.352;62.167;;
810;7.8066;0.0321;0.896;;1.596;19.844;;
813;11.0592;0.0846;0.730;;2.174;65.835;;
814;12.3535;0.0517;1.032;4743;10.740;58.013;;
818;11.2729;0.0258;0.959;;2.015;8.949;;
819;10.4797;0.0194;1.046;6520;1.853;5.222;;
824;2.0666;0.0190;0.975;3785;;;;
829;3.7548;0.0156;1.005;4219;27.469;219.368;;
836;1.1470;0.0153;0.933;4511;;;;
838;2.1880;0.0293;0.990;8779;;;;
